Security Code	Security Id	Ticker	Security Name	Current Price	Market Capitalization	Company Type	Industry Type	Macro-Economic Indicator	Sector	Industry	Industry Subgroup Name
500067	BLUESTARCO	NSE:BLUESTARCO	Blue Star Ltd	1975	40603.9855	Mid Cap	Household Appliances	Consumer Discretionary	Consumer Durables	Consumer Durables	Household Appliances
500068	DISAQ	NSE:DISAQ	Disa India Ltd	13739.9	1998.061811	Small Cap	Industrial Products	Industrials	Capital Goods	Industrial Manufacturing	Industrial Products
500069	QUESTCAP	NSE:QUESTCAP	Quest Capital Markets Ltd	325.05	325	SME	Other Capital Market related Services	Financial Services	Financial Services	Capital Markets	Other Capital Market related Services
500074	BPL	NSE:BPL	BPL Ltd	76.32	373.2933714	SME	Consumer Electronics	Consumer Discretionary	Consumer Durables	Consumer Durables	Consumer Electronics
500078	OAL	NSE:OAL	Oriental Aromatics Ltd	346	1164.413176	Small Cap	Specialty Chemicals	Commodities	Chemicals	Chemicals & Petrochemicals	Specialty Chemicals
500083	CENTEXT	NSE:CENTEXT	Century Extrusions Ltd	29.1	235.0255098	SME	Aluminium- Copper & Zinc Products	Industrials	Capital Goods	Industrial Products	Aluminium, Copper & Zinc Products
500084	CESC	NSE:CESC	CESC Ltd	181.18	24000.4832	Small Cap	Integrated Power Utilities	Utilities	Power	Power	Integrated Power Utilities
500085	CHAMBLFERT	NSE:CHAMBLFERT	Chambal Fertilisers & Chemicals Ltd	494.5	19812.26118	Small Cap	Fertilizers	Commodities	Chemicals	Fertilizers & Agrochemicals	Fertilizers
500086	EXIDEIND	NSE:EXIDEIND	Exide Industries Ltd	392.9	33396.49948	Mid Cap	Auto Components & Equipments	Consumer Discretionary	Automobile and Auto Components	Auto Components	Auto Components & Equipments
500087	CIPLA	NSE:CIPLA	Cipla Ltd	1645	133036.4451	Large Cap	Pharmaceuticals	Healthcare	Healthcare	Pharmaceuticals & Biotechnology	Pharmaceuticals
500089	DICIND	NSE:DICIND	DIC India Ltd	520	477.306752	SME	Printing Inks	Commodities	Chemicals	Chemicals & Petrochemicals	Printing Inks
500092	CRISIL	NSE:CRISIL	CRISIL Ltd	4955	36235.92491	Mid Cap	Other Financial Services	Financial Services	Financial Services	Finance	Other Financial Services
500093	CGPOWER	NSE:CGPOWER	CG Power and Industrial Solutions Ltd	733.8	112077.0485	Large Cap	Heavy Electrical Equipment	Industrials	Capital Goods	Electrical Equipment	Heavy Electrical Equipment
500096	DABUR	NSE:DABUR	Dabur India Ltd	511	90472.84977	Large Cap	Personal Care	Fast Moving Consumer Goods	Fast Moving Consumer Goods	Personal Products	Personal Care
500097	DALMIASUG	NSE:DALMIASUG	Dalmia Bharat Sugar and Industries Ltd	362.15	2931.216338	Small Cap	Sugar	Fast Moving Consumer Goods	Fast Moving Consumer Goods	Agricultural Food & other Products	Sugar
500101	ARVIND	NSE:ARVIND	Arvind Ltd	321.45	8422.077111	Small Cap	Garments & Apparels	Consumer Discretionary	Textiles	Textiles & Apparels	Garments & Apparels
500103	BHEL	NSE:BHEL	Bharat Heavy Electricals Ltd	233.84	81505.72086	Large Cap	Heavy Electrical Equipment	Industrials	Capital Goods	Electrical Equipment	Heavy Electrical Equipment
500104	HINDPETRO	NSE:HINDPETRO	Hindustan Petroleum Corporation Ltd	440.8	93718.37512	Large Cap	Refineries & Marketing	Energy	Oil, Gas & Consumable Fuels	Petroleum Products	Refineries & Marketing
500106	IFCI	NSE:IFCI	IFCI Ltd	56.39	14727.99348	Small Cap	Financial Institution	Financial Services	Financial Services	Finance	Financial Institution
500108	MTNL	NSE:MTNL	Mahanagar Telephone Nigam Ltd	42.14	2654.830693	Small Cap	Telecom - Cellular & Fixed line services	Telecommunication	Telecommunication	Telecom - Services	Telecom - Cellular & Fixed line services
500109	MRPL	NSE:MRPL	Mangalore Refinery and Petrochemicals Ltd	145.96	25580.92158	Small Cap	Refineries & Marketing	Energy	Oil, Gas & Consumable Fuels	Petroleum Products	Refineries & Marketing
500110	CHENNPETRO	NSE:CHENNPETRO	Chennai Petroleum Corporation Ltd	745.5	11101.34487	Small Cap	Refineries & Marketing	Energy	Oil, Gas & Consumable Fuels	Petroleum Products	Refineries & Marketing
500112	SBIN	NSE:SBIN	State Bank of India	909.1	841372.0843	Large Cap	Public Sector Bank	Financial Services	Financial Services	Banks	Public Sector Bank
500113	SAIL	NSE:SAIL	Steel Authority of India Ltd	129	53398.43163	Mid Cap	Iron & Steel	Commodities	Metals & Mining	Ferrous Metals	Iron & Steel
500114	TITAN	NSE:TITAN	Titan Company Ltd	3763.3	334655.4763	Large Cap	Gems- Jewellery And Watches	Consumer Discretionary	Consumer Durables	Consumer Durables	Gems, Jewellery And Watches
500116	IDBI	NSE:IDBI	IDBI Bank Ltd	93.98	101233.8476	Large Cap	Private Sector Bank	Financial Services	Financial Services	Banks	Private Sector Bank
500117	DCW	NSE:DCW	DCW Ltd	64.3	1899.340873	Small Cap	Petrochemicals	Commodities	Chemicals	Chemicals & Petrochemicals	Petrochemicals
500119	DHAMPURSUG	NSE:DHAMPURSUG	Dhampur Sugar Mills Ltd	142.33	915.2745686	Micro Cap	Sugar	Fast Moving Consumer Goods	Fast Moving Consumer Goods	Agricultural Food & other Products	Sugar
500120	DIAMINESQ	NSE:DIAMINESQ	Diamines & Chemicals Ltd	299.5	293.0304705	SME	Specialty Chemicals	Commodities	Chemicals	Chemicals & Petrochemicals	Specialty Chemicals
500123	ELANTAS	NSE:ELANTAS	Elantas Beck India Ltd	9785.75	7757.831413	Small Cap	Specialty Chemicals	Commodities	Chemicals	Chemicals & Petrochemicals	Specialty Chemicals
500124	DRREDDY	NSE:DRREDDY	Dr Reddys Laboratories Ltd	1280	1212.526556	Small Cap	Pharmaceuticals	Healthcare	Healthcare	Pharmaceuticals & Biotechnology	Pharmaceuticals
500125	EIDPARRY	NSE:EIDPARRY	EID Parry India Ltd	1047.9	18504.375	Small Cap	Other Food Products	Fast Moving Consumer Goods	Fast Moving Consumer Goods	Food Products	Other Food Products
500126	PGHL	NSE:PGHL	Procter & Gamble Health Ltd	6098	10122.30192	Small Cap	Pharmaceuticals	Healthcare	Healthcare	Pharmaceuticals & Biotechnology	Pharmaceuticals
500128	ELECTCAST	NSE:ELECTCAST	Electrosteel Castings Ltd	94.23	5804.924192	Small Cap	Iron & Steel Products	Industrials	Capital Goods	Industrial Products	Iron & Steel Products
500133	ESABINDIA	NSE:ESABINDIA	Esab India Ltd	4952	7622.623504	Small Cap	Other Industrial Products	Industrials	Capital Goods	Industrial Products	Other Industrial Products
500135	EPL	NSE:EPL	EPL Ltd	206.01	6595.962081	Small Cap	Packaging	Industrials	Capital Goods	Industrial Products	Packaging
500136	ESTER	NSE:ESTER	Ester Industries Ltd	113.59	1108.481951	Small Cap	Packaging	Industrials	Capital Goods	Industrial Products	Packaging
500142	FGP	NSE:FGP	FGP Ltd	9.56	11.3716682	SME	Non Banking Financial Company (NBFC)	Financial Services	Financial Services	Finance	Non Banking Financial Company (NBFC)
500143	PHCAP	NSE:PHCAP	PH Capital Ltd	190	57.001881	SME	Investment Company	Financial Services	Financial Services	Finance	Investment Company
500144	FINCABLES	NSE:FINCABLES	Finolex Cables Ltd	790.5	12089.85167	Small Cap	Cables - Electricals	Industrials	Capital Goods	Industrial Products	Cables - Electricals
500147	COCKERILL	NSE:COCKERILL	John Cockerill India Ltd	5390	2684.639	Small Cap	Industrial Products	Industrials	Capital Goods	Industrial Manufacturing	Industrial Products
500148	UFLEX	NSE:UFLEX	Uflex Ltd	547	3957.911043	Small Cap	Packaging	Industrials	Capital Goods	Industrial Products	Packaging
500150	FOSECOIND	NSE:FOSECOIND	Foseco India Ltd	5710	3646.772844	Small Cap	Specialty Chemicals	Commodities	Chemicals	Chemicals & Petrochemicals	Specialty Chemicals
500151	GOLDENTOBC	NSE:GOLDENTOBC	Golden Tobacco Ltd	34.03	61.2961505	SME	Residential- Commercial Projects	Consumer Discretionary	Realty	Realty	Residential, Commercial Projects
500153	GANESHBE	NSE:GANESHBE	Ganesh Benzoplast Ltd	87.76	631.7790775	Micro Cap	Oil Storage & Transportation	Energy	Oil, Gas & Consumable Fuels	Oil	Oil Storage & Transportation
500159	METROGLOBL	NSE:METROGLOBL	Metroglobal Ltd	125.4	154.6730016	SME	Trading & Distributors	Services	Services	Commercial Services & Supplies	Trading & Distributors
500160	GTL	NSE:GTL	GTL Ltd	9.23	145.1848468	SME	Other Telecom Services	Telecommunication	Telecommunication	Telecom - Services	Other Telecom Services
500163	GODFRYPHLP	NSE:GODFRYPHLP	Godfrey Phillips India Ltd	3169	49430.60073	Mid Cap	Cigarettes & Tobacco Products	Fast Moving Consumer Goods	Fast Moving Consumer Goods	Cigarettes & Tobacco Products	Cigarettes & Tobacco Products
500164	GODREJIND	NSE:GODREJIND	Godrej Industries Ltd	1100	37048.341	Mid Cap	Diversified	Diversified	Diversified	Diversified	Diversified
500165	KANSAINER	NSE:KANSAINER	Kansai Nerolac Paints Ltd	255.6	20665.59533	Small Cap	Paints	Consumer Discretionary	Consumer Durables	Consumer Durables	Paints
500166	GOODRICKE	NSE:GOODRICKE	Goodricke Group Ltd	193	416.88	SME	Tea & Coffee	Fast Moving Consumer Goods	Fast Moving Consumer Goods	Agricultural Food & other Products	Tea & Coffee
500168	GOODYEAR	NSE:GOODYEAR	Goodyear India Ltd	991.9	2287.966191	Small Cap	Tyres & Rubber Products	Consumer Discretionary	Automobile and Auto Components	Auto Components	Tyres & Rubber Products
500170	GTNINDS	NSE:GTNINDS	GTN Industries Ltd	25.75	45.1664527	SME	Other Textile Products	Consumer Discretionary	Textiles	Textiles & Apparels	Other Textile Products
500171	GHCL	NSE:GHCL	GHCL Ltd	649	6219.653055	Small Cap	Commodity Chemicals	Commodities	Chemicals	Chemicals & Petrochemicals	Commodity Chemicals
500173	GFLLIMITED	NSE:GFLLIMITED	GFL Ltd	74.57	817.3571798	Micro Cap	Holding Company	Financial Services	Financial Services	Finance	Holding Company
500174	GLFL	NSE:GLFL	Gujarat Lease Financing Ltd	7.35	19.9374406	SME	Other Financial Services	Financial Services	Financial Services	Finance	Other Financial Services
500179	HCL-INSYS	NSE:HCL-INSYS	HCL Infosystems Ltd	15.16	499.0822033	SME	Computers Hardware & Equipments	Information Technology	Information Technology	IT - Hardware	Computers Hardware & Equipments
500180	HDFCBANK	NSE:HDFCBANK	HDFC Bank Ltd	1006.6	17664.86481	Small Cap	Private Sector Bank	Financial Services	Financial Services	Banks	Private Sector Bank
500182	HEROMOTOCO	NSE:HEROMOTOCO	Hero MotoCorp Ltd	5584	111793.3642	Large Cap	2/3 Wheelers	Consumer Discretionary	Automobile and Auto Components	Automobiles	2/3 Wheelers
500183	HFCL	NSE:HFCL	HFCL Ltd	76.76	11069.59829	Small Cap	Telecom - Infrastructure	Telecommunication	Telecommunication	Telecom - Services	Telecom - Infrastructure
500184	HSCL	NSE:HSCL	Himadri Speciality Chemical Ltd	471.5	23249.73048	Small Cap	Carbon Black	Commodities	Chemicals	Chemicals & Petrochemicals	Carbon Black
500185	HCC	NSE:HCC	Hindustan Construction Company Ltd	28.4	5180.048047	Small Cap	Civil Construction	Industrials	Construction	Construction	Civil Construction
500186	HINDOILEXP	NSE:HINDOILEXP	Hindustan Oil Exploration Company Ltd	163.3	2162.996722	Small Cap	Oil Exploration & Production	Energy	Oil, Gas & Consumable Fuels	Oil	Oil Exploration & Production
500187	AGI	NSE:AGI	Agi Greenpac Ltd	827.9	5340.085481	Small Cap	Packaging	Industrials	Capital Goods	Industrial Products	Packaging
500188	HINDZINC	NSE:HINDZINC	Hindustan Zinc Ltd	481.25	203701.4777	Large Cap	Zinc	Commodities	Metals & Mining	Non - Ferrous Metals	Zinc
500189	NDLVENTURE	NSE:NDLVENTURE	NDL Ventures Ltd	84.74	282.1008	SME	Other Financial Services	Financial Services	Financial Services	Finance	Other Financial Services
500191	HMT	NSE:HMT	HMT Ltd	57.75	6953.625525	Small Cap	Industrial Products	Industrials	Capital Goods	Industrial Manufacturing	Industrial Products
500192	PRAGBOS	NSE:PRAGBOS	Prag Bosimi Synthetics Ltd	2.17	16.1411028	SME	Other Textile Products	Consumer Discretionary	Textiles	Textiles & Apparels	Other Textile Products
500193	HLVLTD	NSE:HLVLTD	HLV Ltd	11.2	744.34725	Micro Cap	Hotels & Resorts	Consumer Discretionary	Consumer Services	Leisure Services	Hotels & Resorts
500199	IGPL	NSE:IGPL	IG Petrochemicals Ltd	424.85	1308.318371	Small Cap	Commodity Chemicals	Commodities	Chemicals	Chemicals & Petrochemicals	Commodity Chemicals
500201	INDIAGLYCO	NSE:INDIAGLYCO	India Glycols Ltd	963	5963.183937	Small Cap	Breweries & Distilleries	Fast Moving Consumer Goods	Fast Moving Consumer Goods	Beverages	Breweries & Distilleries
500202	INDLEASE	NSE:INDLEASE	India Lease Development Ltd	10.31	15.1559996	SME	Non Banking Financial Company (NBFC)	Financial Services	Financial Services	Finance	Non Banking Financial Company (NBFC)
500206	MARGOFIN	NSE:MARGOFIN	Margo Finance Ltd	79.09	36.1441283	SME	Non Banking Financial Company (NBFC)	Financial Services	Financial Services	Finance	Non Banking Financial Company (NBFC)
500207	INDORAMA	NSE:INDORAMA	Indo Rama Synthetics (India) Ltd	67.28	1750.422818	Small Cap	Other Textile Products	Consumer Discretionary	Textiles	Textiles & Apparels	Other Textile Products
500209	INFY	NSE:INFY	Infosys Ltd	1525	6991.549391	Small Cap	Computers - Software & Consulting	Information Technology	Information Technology	IT - Software	Computers - Software & Consulting
500210	INGERRAND	NSE:INGERRAND	Ingersoll-Rand (India) Ltd	4002	12635.20393	Small Cap	Compressors- Pumps & Diesel Engines	Industrials	Capital Goods	Industrial Products	Compressors, Pumps & Diesel Engines
500213	ITHL	NSE:ITHL	International Travel House Ltd	487	389.33215	SME	Tour, Travel Related Services	Consumer Discretionary	Consumer Services	Leisure Services	Tour, Travel Related Services
500214	IONEXCHANG	NSE:IONEXCHANG	Ion Exchange India Ltd	403.95	4965.773658	Small Cap	Water Supply & Management	Utilities	Utilities	Other Utilities	Water Supply & Management
500215	ATFL	NSE:ATFL	Agro Tech Foods Ltd	775.75	0	SME	Edible Oil	Fast Moving Consumer Goods	Fast Moving Consumer Goods	Agricultural Food & other Products	Edible Oil
500219	JISLJALEQS	NSE:JISLJALEQS	Jain Irrigation Systems Ltd	50.16	3667.716473	Small Cap	Plastic Products - Industrial	Industrials	Capital Goods	Industrial Products	Plastic Products - Industrial
500220	JASCH	NSE:JASCH	Jasch Industries Ltd	175	118.965	SME	Other Textile Products	Consumer Discretionary	Textiles	Textiles & Apparels	Other Textile Products
500227	JINDALPOLY	NSE:JINDALPOLY	Jindal Poly Films Ltd	567.5	2479.183584	Small Cap	Packaging	Industrials	Capital Goods	Industrial Products	Packaging
500228	JSWSTEEL	NSE:JSWSTEEL	JSW Steel Ltd	1136	277473.3392	Large Cap	Iron & Steel	Commodities	Metals & Mining	Ferrous Metals	Iron & Steel
500231	UMANGDAIRY	NSE:UMANGDAIRY	Umang Dairies Ltd	0	0	SME	Dairy Products	Fast Moving Consumer Goods	Fast Moving Consumer Goods	Food Products	Dairy Products
500233	KAJARIACER	NSE:KAJARIACER	Kajaria Ceramics Ltd	1225.2	19514.04142	Small Cap	Ceramics	Consumer Discretionary	Consumer Durables	Consumer Durables	Ceramics
500234	KAKATCEM	NSE:KAKATCEM	Kakatiya Cement Sugar & Industries Ltd	147.89	116.875095	SME	Cement & Cement Products	Commodities	Construction Materials	Cement & Cement Products	Cement & Cement Products
500235	KSL	NSE:KSL	Kalyani Steels Ltd	847	3700.449824	Small Cap	Iron & Steel Products	Industrials	Capital Goods	Industrial Products	Iron & Steel Products
500238	WHIRLPOOL	NSE:WHIRLPOOL	Whirlpool of India Ltd	1395	17727.39983	Small Cap	Household Appliances	Consumer Discretionary	Consumer Durables	Consumer Durables	Household Appliances
500239	KGDENIM	NSE:KGDENIM	KG Denim Ltd	17.99	46.1224375	SME	Other Textile Products	Consumer Discretionary	Textiles	Textiles & Apparels	Other Textile Products
500240	KINETICENG	NSE:KINETICENG	Kinetic Engineering Ltd	310	739.3283	Micro Cap	Auto Components & Equipments	Consumer Discretionary	Automobile and Auto Components	Auto Components	Auto Components & Equipments
500241	KIRLOSBROS	NSE:KIRLOSBROS	Kirloskar Brothers Ltd	1925.3	15323.2097	Small Cap	Compressors- Pumps & Diesel Engines	Industrials	Capital Goods	Industrial Products	Compressors, Pumps & Diesel Engines
500243	KIRLOSIND	NSE:KIRLOSIND	Kirloskar Industries Ltd	3902	4097.068784	Small Cap	Other Industrial Products	Industrials	Capital Goods	Industrial Products	Other Industrial Products
500245	KIRLFER	NSE:KIRLFER	Kirloskar Ferrous Industries Ltd	522.9	8614.202712	Small Cap	Pig Iron	Commodities	Metals & Mining	Ferrous Metals	Pig Iron
500246	ENVAIREL	NSE:ENVAIREL	Envair Electrodyne Ltd	125	58	SME	Industrial Products	Industrials	Capital Goods	Industrial Manufacturing	Industrial Products
500247	KOTAKBANK	NSE:KOTAKBANK	Kotak Mahindra Bank Ltd	2220.1	441495.7657	Large Cap	Private Sector Bank	Financial Services	Financial Services	Banks	Private Sector Bank
500248	KRIFILIND	NSE:KRIFILIND	Krishna Filament Industries Ltd	6.09	4.741857	SME	Plastic Products - Industrial	Industrials	Capital Goods	Industrial Products	Plastic Products - Industrial
500249	KSB	NSE:KSB	KSB Ltd	807	14053.57704	Small Cap	Compressors- Pumps & Diesel Engines	Industrials	Capital Goods	Industrial Products	Compressors, Pumps & Diesel Engines
500250	LGBBROSLTD	NSE:LGBBROSLTD	LG Balakrishnan & Bros Ltd	1345	4289.529145	Small Cap	Auto Components & Equipments	Consumer Discretionary	Automobile and Auto Components	Auto Components	Auto Components & Equipments
500251	TRENT	NSE:TRENT	Trent Ltd	4787	170171.8184	Large Cap	Speciality Retail	Consumer Discretionary	Consumer Services	Retailing	Speciality Retail
500252	LMW	NSE:LMW	LMW Ltd	15774	16545.83	Small Cap	Industrial Products	Industrials	Capital Goods	Industrial Manufacturing	Industrial Products
500253	LICHSGFIN	NSE:LICHSGFIN	LIC Housing Finance Ltd	580	31903.6482	Mid Cap	Housing Finance Company	Financial Services	Financial Services	Finance	Housing Finance Company
500257	LUPIN	NSE:LUPIN	Lupin Ltd	1945	88569.53169	Large Cap	Pharmaceuticals	Healthcare	Healthcare	Pharmaceuticals & Biotechnology	Pharmaceuticals
500259	LYKALABS	NSE:LYKALABS	Lyka Labs Ltd	97.13	346.656863	SME	Pharmaceuticals	Healthcare	Healthcare	Pharmaceuticals & Biotechnology	Pharmaceuticals
500260	RAMCOCEM	NSE:RAMCOCEM	The Ramco Cements Ltd	1045	24692.5558	Small Cap	Cement & Cement Products	Commodities	Construction Materials	Cement & Cement Products	Cement & Cement Products
500262	HYBRIDFIN	NSE:HYBRIDFIN	Hybrid Financial Services Ltd	33.62	98.9647365	SME	Stockbroking & Allied	Financial Services	Financial Services	Capital Markets	Stockbroking & Allied
500264	MAFATIND	NSE:MAFATIND	Mafatlal Industries Ltd	185.55	1336.497004	Small Cap	Other Textile Products	Consumer Discretionary	Textiles	Textiles & Apparels	Other Textile Products
500265	MAHSEAMLES	NSE:MAHSEAMLES	Maharashtra Seamless Ltd	570	7637.9544	Small Cap	Iron & Steel Products	Industrials	Capital Goods	Industrial Products	Iron & Steel Products
500266	MAHSCOOTER	NSE:MAHSCOOTER	Maharashtra Scooters Ltd	16725	19114.45058	Small Cap	Investment Company	Financial Services	Financial Services	Finance	Investment Company
500267	MAJESAUT	NSE:MAJESAUT	Majestic Auto Ltd	332.4	345.6118964	SME	Diversified Commercial Services	Services	Services	Commercial Services & Supplies	Diversified Commercial Services
500268	MANALIPETC	NSE:MANALIPETC	Manali Petrochemicals Ltd	71.11	1227.560086	Small Cap	Petrochemicals	Commodities	Chemicals	Chemicals & Petrochemicals	Petrochemicals
500270	BARODARY	NSE:BARODARY	Baroda Rayon Corporation Ltd	134.9	309.0740975	SME	Residential- Commercial Projects	Consumer Discretionary	Realty	Realty	Residential, Commercial Projects
500271	MFSL	NSE:MFSL	Max Financial Services Ltd	1536.4	53023.42335	Mid Cap	Life Insurance	Financial Services	Financial Services	Insurance	Life Insurance
500277	MIDINDIA	NSE:MIDINDIA	Mid India Industries Ltd	7.6	12.3879998	SME	Other Textile Products	Consumer Discretionary	Textiles	Textiles & Apparels	Other Textile Products
500279	MIRCELECTR	NSE:MIRCELECTR	Mirc Electronics Ltd	29.07	1073.823114	Small Cap	Consumer Electronics	Consumer Discretionary	Consumer Durables	Consumer Durables	Consumer Electronics
500280	CENTENKA	NSE:CENTENKA	Century Enka Ltd	468	1015.97418	Small Cap	Other Textile Products	Consumer Discretionary	Textiles	Textiles & Apparels	Other Textile Products
500282	MODTHREAD	NSE:MODTHREAD	Modern Thread India Ltd	45.5	158.226978	SME	Other Textile Products	Consumer Discretionary	Textiles	Textiles & Apparels	Other Textile Products
500284	LORDSCHLO	NSE:LORDSCHLO	Lords Chloro Alkali Ltd	217.2	546.3418315	Micro Cap	Commodity Chemicals	Commodities	Chemicals	Chemicals & Petrochemicals	Commodity Chemicals
500285	SPICEJET	NSE:SPICEJET	Spicejet Ltd	34	4805.9714	Small Cap	Airline	Services	Services	Transport Services	Airline
500288	MOREPENLAB	NSE:MOREPENLAB	Morepen Laboratories Ltd	49.06	2691.000988	Small Cap	Pharmaceuticals	Healthcare	Healthcare	Pharmaceuticals & Biotechnology	Pharmaceuticals
500290	MRF	NSE:MRF	MRF Ltd	161000	68282.3862	Mid Cap	Tyres & Rubber Products	Consumer Discretionary	Automobile and Auto Components	Auto Components	Tyres & Rubber Products
500292	HEIDELBERG	NSE:HEIDELBERG	HeidelbergCement India Ltd	194.35	4404.225737	Small Cap	Cement & Cement Products	Commodities	Construction Materials	Cement & Cement Products	Cement & Cement Products
500294	NCC	NSE:NCC	NCC Ltd	210.4	13167.61224	Small Cap	Civil Construction	Industrials	Construction	Construction	Civil Construction
500295	VEDL	NSE:VEDL	Vedanta Ltd	483.4	179417.8398	Large Cap	Diversified Metals	Commodities	Metals & Mining	Diversified Metals	Diversified Metals
